trials	endpoint_feedback	online_feedback	aim_report	aim_ring	rotation	instruction	target_angle	target_distance	size	aim_at_targ
292	1	1	0	0	-1.75	0	210	80	24	1
293	1	1	0	0	-1.75	0	330	80	4	1
294	1	1	0	0	-1.75	0	90	80	4	1
295	1	1	0	0	-1.75	0	330	80	24	1
296	1	1	0	0	-1.75	0	210	80	24	1
297	1	1	0	0	-1.75	0	90	80	4	1
298	1	1	0	0	-1.75	0	330	80	4	1
299	1	1	0	0	-1.75	0	210	80	24	1
300	1	1	0	0	-1.75	0	330	80	24	1
301	1	1	0	0	-1.75	0	210	80	24	1
302	1	1	0	0	-1.75	0	90	80	4	1
303	1	1	0	0	-1.75	0	90	80	4	1
304	1	1	0	0	-1.75	0	210	80	24	1
305	1	1	0	0	-1.75	0	330	80	24	1
306	1	1	0	0	-1.75	0	210	80	24	1
307	1	1	0	0	-1.75	0	330	80	4	1
308	1	1	0	0	-1.75	0	90	80	4	1
309	1	1	0	0	-1.75	0	90	80	4	1
310	1	1	0	0	-1.75	0	210	80	24	1
311	1	1	0	0	-1.75	0	330	80	4	1
312	1	1	0	0	-1.75	0	90	80	4	1
313	1	1	0	0	-1.75	0	210	80	24	1
314	1	1	0	0	-1.75	0	330	80	24	1
315	1	1	0	0	-1.75	0	210	80	24	1
316	1	1	0	0	-1.75	0	330	80	4	1
317	1	1	0	0	-1.75	0	90	80	4	1
318	1	1	0	0	-1.75	0	210	80	24	1
319	1	1	0	0	-1.75	0	330	80	24	1
320	1	1	0	0	-1.75	0	90	80	4	1
321	1	1	0	0	-1.75	0	330	80	4	1
322	1	1	0	0	-1.75	0	90	80	4	1
323	1	1	0	0	-1.75	0	210	80	24	1
324	1	1	0	0	-1.75	0	330	80	24	1
325	1	1	0	0	-1.75	0	210	80	24	1
326	1	1	0	0	-1.75	0	90	80	4	1
327	1	1	0	0	-1.75	0	210	80	24	1
328	1	1	0	0	-1.75	0	90	80	4	1
329	1	1	0	0	-1.75	0	330	80	24	1
330	1	1	0	0	-1.75	0	330	80	4	1
331	1	1	0	0	-1.75	0	210	80	24	1
332	1	1	0	0	-1.75	0	90	80	4	1
333	1	1	0	0	-1.75	0	90	80	4	1
334	1	1	0	0	-1.75	0	210	80	24	1
335	1	1	0	0	-1.75	0	330	80	4	1
336	1	1	0	0	-1.75	0	90	80	4	1
337	1	1	0	0	-1.75	0	210	80	24	1
338	1	1	0	0	-1.75	0	330	80	24	1
339	1	1	0	0	-1.75	0	90	80	4	1
340	1	1	0	0	-1.75	0	330	80	24	1
341	1	1	0	0	-1.75	0	210	80	24	1
342	1	1	0	0	-1.75	0	90	80	4	1
343	1	1	0	0	-1.75	0	330	80	4	1
344	1	1	0	0	-1.75	0	210	80	24	1
345	1	1	0	0	-1.75	0	210	80	24	1
346	1	1	0	0	-1.75	0	330	80	4	1
347	1	1	0	0	-1.75	0	90	80	4	1
348	1	1	0	0	-1.75	0	330	80	24	1
349	1	1	0	0	-1.75	0	210	80	24	1
350	1	1	0	0	-1.75	0	90	80	4	1
351	1	1	0	0	-1.75	0	90	80	4	1
352	1	1	0	0	-1.75	0	330	80	4	1
353	1	1	0	0	-1.75	0	210	80	24	1
354	1	1	0	0	-1.75	0	90	80	4	1
355	1	1	0	0	-1.75	0	210	80	24	1
356	1	1	0	0	-1.75	0	330	80	24	1
357	1	1	0	0	-1.75	0	210	80	24	1
358	1	1	0	0	-1.75	0	330	80	24	1
359	1	1	0	0	-1.75	0	90	80	4	1
360	1	1	0	0	-1.75	0	330	80	4	1
361	1	1	0	0	-1.75	0	90	80	4	1
362	1	1	0	0	-1.75	0	210	80	24	1
363	1	1	0	0	-1.75	0	330	80	24	1
364	1	1	0	0	-1.75	0	210	80	24	1
365	1	1	0	0	-1.75	0	90	80	4	1
366	1	1	0	0	-1.75	0	210	80	24	1
367	1	1	0	0	-1.75	0	90	80	4	1
368	1	1	0	0	-1.75	0	330	80	4	1
369	1	1	0	0	-1.75	0	90	80	4	1
370	1	1	0	0	-1.75	0	330	80	24	1
371	1	1	0	0	-1.75	0	210	80	24	1
372	1	1	0	0	-1.75	0	90	80	4	1
373	1	1	0	0	-1.75	0	210	80	24	1
374	1	1	0	0	-1.75	0	330	80	4	1
375	1	1	0	0	-1.75	0	90	80	4	1
376	1	1	0	0	-1.75	0	330	80	24	1
377	1	1	0	0	-1.75	0	210	80	24	1
378	1	1	0	0	-1.75	0	210	80	24	1
379	1	1	0	0	-1.75	0	330	80	4	1
380	1	1	0	0	-1.75	0	90	80	4	1
381	1	1	0	0	-1.75	0	210	80	24	1
382	1	1	0	0	-1.75	0	90	80	4	1
383	1	1	0	0	-1.75	0	330	80	24	1
384	1	1	0	0	-1.75	0	90	80	4	1
385	1	1	0	0	-1.75	0	210	80	24	1
386	1	1	0	0	-1.75	0	330	80	4	1
387	1	1	0	0	-1.75	0	330	80	24	1
388	1	1	0	0	-1.75	0	90	80	4	1
389	1	1	0	0	-1.75	0	210	80	24	1
390	1	1	0	0	-1.75	0	90	80	4	1
391	1	1	0	0	-1.75	0	330	80	4	1
392	1	1	0	0	-1.75	0	210	80	24	1
393	1	1	0	0	-1.75	0	330	80	24	1
394	1	1	0	0	-1.75	0	210	80	24	1
395	1	1	0	0	-1.75	0	90	80	4	1
396	1	1	0	0	-1.75	0	90	80	4	1
397	1	1	0	0	-1.75	0	330	80	4	1
398	1	1	0	0	-1.75	0	210	80	24	1
399	1	1	0	0	-1.75	0	210	80	24	1
400	1	1	0	0	-1.75	0	90	80	4	1
401	1	1	0	0	-1.75	0	330	80	4	1
402	1	1	0	0	-1.75	0	90	80	4	1
403	1	1	0	0	-1.75	0	210	80	24	1
404	1	1	0	0	-1.75	0	330	80	24	1
405	1	1	0	0	-1.75	0	90	80	4	1
406	1	1	0	0	-1.75	0	330	80	4	1
407	1	1	0	0	-1.75	0	210	80	24	1
408	1	1	0	0	-1.75	0	210	80	24	1
409	1	1	0	0	-1.75	0	90	80	4	1
410	1	1	0	0	-1.75	0	330	80	24	1
411	1	1	0	0	-1.75	0	330	80	24	1
412	1	1	0	0	-1.75	0	210	80	24	1
413	1	1	0	0	-1.75	0	90	80	4	1
414	1	1	0	0	-1.75	0	90	80	4	1
