trials	endpoint_feedback	online_feedback	aim_report	aim_ring	rotation	instruction	target_angle	target_distance	size	aim_at_targ
315	0	0	0	0	0	0	200	80	24	1
316	1	1	0	0	1.75	0	200	80	24	1
317	0	0	0	0	0	0	200	80	24	1
318	0	0	0	0	0	0	80	80	4	1
319	1	1	0	0	-1.75	0	80	80	4	1
320	0	0	0	0	0	0	80	80	4	1
321	0	0	0	0	0	0	320	80	24	1
322	1	1	0	0	1.75	0	320	80	24	1
323	0	0	0	0	0	0	320	80	24	1
324	0	0	0	0	0	0	200	80	24	1
325	1	1	0	0	-1.75	0	200	80	24	1
326	0	0	0	0	0	0	200	80	24	1
327	0	0	0	0	0	0	320	80	24	1
328	1	1	0	0	-1.75	0	320	80	24	1
329	0	0	0	0	0	0	320	80	24	1
330	0	0	0	0	0	0	80	80	4	1
331	1	1	0	0	1.75	0	80	80	4	1
332	0	0	0	0	0	0	80	80	4	1
333	0	0	0	0	0	0	200	80	24	1
334	1	1	0	0	-1.75	0	200	80	24	1
335	0	0	0	0	0	0	200	80	24	1
336	0	0	0	0	0	0	80	80	4	1
337	1	1	0	0	-1.75	0	80	80	4	1
338	0	0	0	0	0	0	80	80	4	1
339	0	0	0	0	0	0	320	80	4	1
340	1	1	0	0	1.75	0	320	80	4	1
341	0	0	0	0	0	0	320	80	4	1
342	0	0	0	0	0	0	200	80	24	1
343	1	1	0	0	1.75	0	200	80	24	1
344	0	0	0	0	0	0	200	80	24	1
345	0	0	0	0	0	0	80	80	4	1
346	1	1	0	0	-1.75	0	80	80	4	1
347	0	0	0	0	0	0	80	80	4	1
348	0	0	0	0	0	0	320	80	24	1
349	1	1	0	0	-1.75	0	320	80	24	1
350	0	0	0	0	0	0	320	80	24	1
351	0	0	0	0	0	0	200	80	24	1
352	1	1	0	0	1.75	0	200	80	24	1
353	0	0	0	0	0	0	200	80	24	1
354	0	0	0	0	0	0	320	80	4	1
355	1	1	0	0	-1.75	0	320	80	4	1
356	0	0	0	0	0	0	320	80	4	1
357	0	0	0	0	0	0	80	80	4	1
358	1	1	0	0	1.75	0	80	80	4	1
359	0	0	0	0	0	0	80	80	4	1
360	0	0	0	0	0	0	200	80	24	1
361	1	1	0	0	-1.75	0	200	80	24	1
362	0	0	0	0	0	0	200	80	24	1
363	0	0	0	0	0	0	320	80	4	1
364	1	1	0	0	1.75	0	320	80	4	1
365	0	0	0	0	0	0	320	80	4	1
366	0	0	0	0	0	0	200	80	24	1
367	1	1	0	0	1.75	0	200	80	24	1
368	0	0	0	0	0	0	200	80	24	1
369	0	0	0	0	0	0	80	80	4	1
370	1	1	0	0	-1.75	0	80	80	4	1
371	0	0	0	0	0	0	80	80	4	1
372	0	0	0	0	0	0	200	80	24	1
